extract_date,id,title,street_name,general_address,apartment_type,stock,total_area,used_area,rooms,bedrooms,bathrooms,cold_rent,total_rent,condition
yesterday,111666286,"Erstbezug, großzügige 4 Zi.-Wohnung mit Loggia und Balkon, mit hochwertiger Ausstattung in Top-Lage",Zillestraße ,"10585 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,2 von 6,"117,56 m²",,4,3,1,"1.939,74 €","2.292,42 €",Erstbezug
yesterday,111666144,"Erstbezug, großzügige 2 Zimmer-Wohnung, mit hochwertiger Ausstattung in Top-Lage",Zillestraße ,"10585 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,2 von 6,"80,68 m²",,2,1,2,"1.247,10 €",1.573 €,Erstbezug
yesterday,111665904,"Erstbezug, großzügige 4 Zi.-Wohnung mit Loggia und Balkon, mit hochwertiger Ausstattung in Top-Lage",Zillestraße ,"10585 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,4 von 6,"115,5 m²",,4,3,1,"1.963,50 €",2.310 €,Erstbezug
yesterday,111665720,"Erstbezug, großzügige 2 Zimmer-Wohnung, mit hochwertiger Ausstattung in Top-Lage",Zillestraße ,"10585 Berlin, Charlottenburg (Charlottenburg)",,,,,,,,,,
yesterday,111665604,FIRST USE AFTER COMPLETE REFURBISHMENT**ELEVATOR**WOODEN FLOORS**FLOOR HEATING**FRANKFURTER ALLEE,,10247 Berlin,Dachgeschoss,5 von 5,"71,85 m²",4 m²,2,2,1,1.222 €,1.459 €,Erstbezug nach Sanierung
yesterday,111664911,"+++ Modernisierte 3,5-Zimmer Wohnung in Neukölln +++",Flughafenstr. ,"12053 Berlin, Neukölln (Neukölln)",,2,"88,6 m²",,"3,5",,,1.199 €,1.434 €,Erstbezug nach Sanierung
yesterday,111664859,"*Westend* 2,5-Zi.-Whg mit Westbalkon, Erstbezug nach Sanierung",,14052 Berlin,Etagenwohnung,3 von 3,"67,5 m²",,"2,5",2,1,889 €,"1.030,75 €",Erstbezug nach Sanierung
yesterday,111664300,"Lichtdurchflutete, ruhige 3,5-Zimmer-Loft-Wohnung zur Untermiete in Pankow, am Caligary-Platz, Bln",,13086 Berlin,Loft,1 von 4,196 m²,,"3,5",,1,1.996 €,2.168 €,
yesterday,111664273,Schlichte Eleganz - ruhige Citylage,,10629 Berlin,Etagenwohnung,4,100 m²,,2,1,2,2.490 €,3.140 €,Neuwertig
yesterday,111664151,Helle moderne 2-Zimmerwohnung in prächtigem Altbau in Bestlage von Alt-Moabit nahe Spree und HBF,Calvinstrasse ,"10557 Berlin, Tiergarten (Tiergarten)",,,,,,,,,,
yesterday,111663995,"Traumgalerie - Licht, Loft, hohe Decken - Einzigartiges und modernes Wohnen",Am Filmlager ,"12555 Berlin, Köpenick (Köpenick)",Maisonette,2 von 4,"57,68 m²",,"1,5",1,1,735 €,"896,50 €",Gepflegt
yesterday,111663892,geräumige 2 Zimmerwohnung in Friedrichshain,RichardSorgeStraße ,"10249 Berlin , Friedrichshain (Friedrichshain)",,,,,,,,,,
yesterday,111663225,Vermietung neu saniertes 1 Zimmer Appartement Nähe KaDeWe direkt vom Eigentümer,,10787 Berlin,Etagenwohnung,6 von 8,48 m²,48 m²,1,,1,750 €,900 €,Saniert
yesterday,111663186,Barrierefreie 2-Zimmer Erdgeschosswohnung mit Wintergarten,Friedenfelser Str. ,"12279 Berlin, Marienfelde (Tempelhof)",Erdgeschosswohnung,0 von 4,"70,63 m²",,2,1,1,"720,43 €","979,64 €",Gepflegt
yesterday,111662218,"Schöne, geräumige zwei Zimmer Wohnung in Berlin, Köpenick von Privat",,12555 Berlin,Etagenwohnung,1 von 4,"67,85 m²",,2,,1,"644,57 €","884,57 € (zzgl. Heizkosten)",Vollständig renoviert
yesterday,111662018,Erstbezug nach Modernisierung! 2-Zimmer-Wohnung in Tiergarten,Lübecker Str. ,"10559 Berlin, Tiergarten (Tiergarten)",,,,,,,,,,
yesterday,111661934,WBS erforderlich. Familienwohnung nahe Tierpark Friedrichsfelde...,Sewanstr. ,"10319 Berlin, Friedrichsfelde (Lichtenberg)",Etagenwohnung,3,"76,56 m²",,3,,,"535,92 €","742,63 €",
yesterday,111661048,Attraktive 2 Zimmer Wohnung - Balkon mit herrlichen Ausblick - ca. 70 m² - 859€ warm,Reinholdstrasse ,"12051 Berlin, Neukölln (Neukölln)",Etagenwohnung,2,"71,79 m²",,2,,,691 €,859 €,Modernisiert
yesterday,111661029,Familienwohnung - EBK - Fußbodenheizung,EllaKayStr. ,"10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Etagenwohnung,2,"143,14 m²",,4,3,2,"1.932,39 €","2.299,05 €",Modernisiert
yesterday,111660433,Ehrlichstr. / 1 1/2 Zimmer Dachgeschoss in Karlshorst,,10318 Berlin,Dachgeschoss,2 von 1,"79,37 m²",,"1,5",1,1,800 €,1.069 €,Gepflegt
yesterday,111660265,"Top Sanierte, Lichtdurchflutete Dachgeschosswohnung in Friedrichshain!",Revaler Straße ,"10245 Berlin, Friedrichshain (Friedrichshain)",Dachgeschoss,5 von 5,"171,01 m²",,5,4,2,"1.966,61 €","2.396,61 €",Erstbezug nach Sanierung
yesterday,111659958,Achtung Frisch Saniert! Steglitz! - unmittelbare Nähe zum Boulevard - 3 Zimmerwohnung - 999€ warm,Lepsiusstrasse ,"12163 Berlin, Steglitz (Steglitz)",Etagenwohnung,3,"74,19 m²",,3,,,911 €,999 €,Saniert
yesterday,111659926,*Wohnberechtigungschein erforderlich* 2-Zimmerwohnung mit EBK - WG-geeignet,,10717 Berlin,Etagenwohnung,6 von 7,"64,92 m²",,2,2,1,"599,99 €","789,99 €",Vollständig renoviert
yesterday,111659660,Effiziente Familienwohnung mit dreiseitiger Belichtung,Heidestraße ,"10557 Berlin, Tiergarten (Tiergarten)",,,,,,,,,,
yesterday,111659152,"F-hain: Neue Bahnhofstr: Möblierte 2-Zi-EG-Whg, 48 m² per 01.12.17 für mind 6 Monate zu VERMIETEN",,10245 Berlin Friedrichshain,,,48 m²,48 m²,2,1,1,850 €,1.050 €,Saniert
yesterday,111659132,"Geräumig und hell, mit kurzem Fußweg zu Schulen und Kitas",Blasewitzer Ring ,"13593 Berlin, Staaken (Spandau)",Etagenwohnung,1 von 6,85 m²,,3,3,1,528 €,820 €,Gepflegt
yesterday,111658700,"Wohnen im ruhigen Staaken, nahe Hahneberg !",Blasewitzer Ring ,"13593 Berlin, Spandau (Spandau)",Etagenwohnung,2 von 9,79 m²,,3,3,1,"540,16 €",785 €,Gepflegt
yesterday,111658545,Traumhaftes modernisiertes 1 Zimmer Appartement + eigene Terrasse im Grünen nahe Tegeler See!,Karolinenstraße ,"13507 Berlin, Tegel (Reinickendorf)",Erdgeschosswohnung,0 von 2,40 m²,"39,7 m²",1,1,1,423 €,606 €,Modernisiert
yesterday,111657162,Toller Altbau in sehr begehrter Lage - mit Aufzug,Friedbergstr. ,"14057 Berlin, Charlottenburg (Charlottenburg)",,4,"114,77 m²",,4,,,1.377 €,1.661 €,
yesterday,111656444,Sanierte 2-Zimmer mit Balkon,Freibergstr. ,"12107 Berlin, Mariendorf (Tempelhof)",,,,,,,,,,
yesterday,111645790,"Studenten-Apartments in Berlin-Mitte (Studio B), neben dem Alexanderplatz",AlexWeddingStraße ,"10178 Berlin, Mitte (Mitte)",,,30 m²,,1,,1,750 €,750 € (zzgl. Nebenkosten),
yesterday,111644191,"BSI***SAMARITERKIEZ***HELLE, DACHGESCHOSS-WHG. MIT TERRASSE IN SAN. ALTBAU***",,10247 Berlin,Dachgeschoss,5 von 5,"81,48 m²",,2,,1,"977,76 €","1.212,76 €",Gepflegt
yesterday,111643774,Wohnen in den  Hesperidenhöfen : Großzügige 2-Zimmer- Wohnung mit Südbalkon,Neue Schönholzer Straße  B,"13187 Berlin, Pankow (Pankow)",Etagenwohnung,1 von 4,92 m²,,2,1,1,923 €,1.181 €,Neuwertig
